id,sourceid,name,party,area,seat,start
0720250789315,d235dd08-8b15-4e31-aec7-b380a1c1ac0b,Mats Wiking,S,Västra Götalands läns norra,195,2018-09-24
0859968278117,d7c3279d-83e4-11d4-ae60-0050040c9b55,Carina Ohlsson,S,Västra Götalands läns östra,196,2018-09-24
0893004490313,8a611e75-37ca-434d-9767-9fb3b60ea82f,Cecilia Widegren,M,Västra Götalands läns östra,197,2018-09-24
0899112324519,b7538868-d298-4c5f-9098-e42ea9fb13da,Elisabeth Svantesson,M,Örebro län,198,2018-09-24
0415959965211,0c2f572c-a7ce-4f39-8ea9-9a758a01680c,Mia Sydow Mölleby,V,Örebro län,199,2018-09-24
023732429721,939a9917-d0d3-40cc-bef4-96d29d140fdf,Sofie Eriksson,S,Dalarnas län,200,2022-01-10
0108109641223,7223f863-4406-4833-8f54-ed21dd2ccbc3,Carl-Oskar Bohlin,M,Dalarnas län,201,2022-02-14
0671241874717,96765f90-7072-436d-8143-264d7cbd7fa9,Elisabeth Björnsdotter Rahm,M,Västerbottens län,202,2018-09-24
0482689573825,7ef75999-90a2-41af-a083-6dfd70e8e3e8,Björn Wiechel,S,Västerbottens län,203,2020-08-10
0538494048717,c5e9daf0-868f-4c8e-9a69-671c7b22855a,Jonas Andersson,SD,Västerbottens län,204,2018-09-24
0648224557612,317c6cc9-dcd5-4dcc-b275-9e17d973da4c,Åsa Karlsson,S,Västerbottens län,205,2018-09-24
0770363683317,02b66d05-3a6a-4bdc-9f6b-b938c7cf24b0,Malin Björk,C,Stockholms kommun,206,2021-09-02
0721509806321,78d79a96-956f-4ac3-bbf7-2b15b3d86ce7,Nooshi Dadgostar,V,Stockholms kommun,207,2020-03-01
037561614928,285a3d5f-cb32-4958-9b7c-1545b2faff18,Lawen Redar,S,Stockholms kommun,208,2018-09-24
0277648711624,df3988c4-9541-465c-b02e-1410c3d31155,Anders Österberg,S,Stockholms kommun,209,2018-09-24
0613297818326,2091e357-e195-430b-8dab-7e13732ffa41,Mathias Tegnér,S,Stockholms län,210,2021-06-01
0832311880029,0f90ef03-a652-45a1-b697-39a33b32e512,Erik Ottoson,M,Stockholms län,211,2021-02-01
